timestamp,temperature,humidity,pressure
1738497600,28.629999999999995,41,1010
1738508400,26.890000000000043,49,1011
1738519200,25.120000000000005,57,1012
1738530000,24.689999999999998,51,1011
1738540800,24.400000000000034,48,1010
1738551600,24.620000000000005,50,1013
1738562400,26.480000000000018,49,1013
1738573200,26.29000000000002,54,1010
1738584000,25.510000000000048,60,1010
1738594800,24.79000000000002,62,1013
1738605600,24.350000000000023,64,1014
1738616400,23.689999999999998,65,1012
1738627200,23.100000000000023,63,1011
1738638000,23.379999999999995,58,1013
1738648800,25.49000000000001,59,1015
1738659600,25.99000000000001,57,1011
1738670400,25.100000000000023,56,1010
1738681200,25.05000000000001,53,1013
1738692000,24.629999999999995,49,1013
1738702800,23.930000000000007,48,1010
1738713600,23.27000000000004,39,1010
1738724400,23.510000000000048,37,1012
1738735200,26.390000000000043,37,1013
1738746000,26.79000000000002,43,1009
1738756800,26.060000000000002,46,1008
1738767600,25.480000000000018,51,1010
1738778400,25.170000000000016,48,1011
1738789200,24.510000000000048,43,1010
1738800000,23.79000000000002,40,1010
1738810800,23.980000000000018,32,1012
1738821600,27.060000000000002,33,1012
1738832400,26.75,42,1009
1738843200,26.340000000000032,48,1008
1738854000,25.810000000000002,52,1010
1738864800,25.58000000000004,47,1011
1738875600,25.08000000000004,43,1010
1738886400,24.460000000000036,41,1009
1738897200,24.760000000000048,38,1011
1738908000,27.879999999999995,36,1011
1738918800,26.870000000000005,44,1009
